"","X","Date","Country","Gender","Age","Q1","Q2","Q3","Q4","Q5","AgeCat"
"2",2,2018-01-11,"US","F",45,3,5,2,"5","5","Elder"
"2.1",2,2018-01-11,"US","F",45,3,5,2,"5","5","Elder"
"1",1,2018-10-15,"US","M",32,5,4,5,"5","5","Middle Aged"
"5",5,2018-05-01,"IRL","F",NA,2,2,1,"2","1","Elder"
"2.2",2,2018-01-11,"US","F",45,3,5,2,"5","5","Elder"
"3",3,2018-10-21,"IRL","F",25,3,5,5,"5","2","Young"
"2.3",2,2018-01-11,"US","F",45,3,5,2,"5","5","Elder"
"1.1",1,2018-10-15,"US","M",32,5,4,5,"5","5","Middle Aged"
"3.1",3,2018-10-21,"IRL","F",25,3,5,5,"5","2","Young"
"5.1",5,2018-05-01,"IRL","F",NA,2,2,1,"2","1","Elder"
